latitude,longitude,vehicle_type,timestamp,object_id
13.82906679993703,121.36733628443602,car,2025-06-17 02:34:06.260000+00:00,1
13.82906679993703,121.36733628443602,bicycle,2025-06-17 02:34:08.460000+00:00,9
13.829369403593368,121.36557850297612,truck,2025-06-17 02:34:20.660000+00:00,41
13.829369403593368,121.36557850297612,truck,2025-06-17 02:34:21.060000+00:00,45
13.829407266625989,121.36528713869224,car,2025-06-17 02:34:22.160000+00:00,53
13.82943041357168,121.36514491544813,truck,2025-06-17 02:34:24.060000+00:00,33
13.82947553269467,121.36486701278554,truck,2025-06-17 02:34:25.760000+00:00,89
13.829591065922266,121.36415230711556,unknown,2025-06-17 02:34:31.660000+00:00,119
13.829625737115869,121.36389509419642,person,2025-06-17 02:34:33.660000+00:00,137
13.829647916280226,121.3637610170769,truck,2025-06-17 02:34:34.160000+00:00,143
13.829693458710883,121.363494012438,car,2025-06-17 02:34:36.460000+00:00,167
13.829693458710883,121.363494012438,car,2025-06-17 02:34:36.660000+00:00,169
13.82971707211099,121.36336164326984,car,2025-06-17 02:34:37.260000+00:00,176
13.829730338284262,121.36322556556746,truck,2025-06-17 02:34:38.760000+00:00,191
13.829730338284262,121.36322556556746,car,2025-06-17 02:34:38.860000+00:00,192
13.829754469948442,121.36309559498322,person,2025-06-17 02:34:39.560000+00:00,207
13.829797152776536,121.36283496865838,car,2025-06-17 02:34:41.160000+00:00,228
13.82981951331083,121.36270544313268,unknown,2025-06-17 02:34:42.960000+00:00,255
13.829838352083485,121.36257788200554,person,2025-06-17 02:34:43.260000+00:00,262
13.829915706259856,121.3615695238786,car,2025-06-17 02:34:51.960000+00:00,308
13.829915341450237,121.36145262206782,car,2025-06-17 02:34:52.360000+00:00,311
13.82990046474675,121.3612230225338,unknown,2025-06-17 02:34:54.960000+00:00,322
13.829883408400264,121.3610877431492,unknown,2025-06-17 02:34:55.360000+00:00,323
13.82981713539673,121.36071693968582,car,2025-06-17 02:34:58.460000+00:00,335
13.829767839163631,121.3604565410839,person,2025-06-17 02:35:00.260000+00:00,346
13.829767839163631,121.3604565410839,car,2025-06-17 02:35:00.960000+00:00,349
13.829673978886197,121.35992765881234,car,2025-06-17 02:35:05.060000+00:00,389
13.829645001237578,121.3597969242403,truck,2025-06-17 02:35:05.860000+00:00,398
13.829622593524402,121.35966992573552,person,2025-06-17 02:35:06.960000+00:00,404
13.829596822161994,121.35954812437724,person,2025-06-17 02:35:07.860000+00:00,388
13.82954845964314,121.35931139511624,person,2025-06-17 02:35:09.260000+00:00,417
13.829456213917377,121.35880494865788,truck,2025-06-17 02:35:13.860000+00:00,409
13.8294383422056,121.3586740708847,person,2025-06-17 02:35:14.760000+00:00,447
13.829418428907092,121.35854861527862,truck,2025-06-17 02:35:15.560000+00:00,458
13.829418428907092,121.35854861527862,person,2025-06-17 02:35:15.860000+00:00,442
13.829348970942254,121.35818001026418,truck,2025-06-17 02:35:19.060000+00:00,464
13.829326201051796,121.35805582745976,truck,2025-06-17 02:35:19.760000+00:00,481
13.829263832700535,121.35766082042562,unknown,2025-06-17 02:35:22.360000+00:00,495
13.829245278059524,121.357535904006,bicycle,2025-06-17 02:35:23.560000+00:00,498
13.82920191075338,121.3572774414483,person,2025-06-17 02:35:25.760000+00:00,526
13.82920191075338,121.3572774414483,person,2025-06-17 02:35:25.860000+00:00,525
13.829179852182724,121.35713611597164,car,2025-06-17 02:35:26.460000+00:00,545
13.829152649506447,121.35699686222706,truck,2025-06-17 02:35:27.560000+00:00,559
13.829103620188077,121.35671555023691,person,2025-06-17 02:35:29.760000+00:00,587
13.829103620188077,121.35671555023691,person,2025-06-17 02:35:29.960000+00:00,590
13.829079762662758,121.35657342698352,person,2025-06-17 02:35:30.160000+00:00,586
13.829059540510375,121.35643057842452,person,2025-06-17 02:35:31.160000+00:00,560
13.829059540510375,121.35643057842452,person,2025-06-17 02:35:31.560000+00:00,557
13.829018593693617,121.35614052787002,person,2025-06-17 02:35:33.560000+00:00,583
13.829018593693617,121.35614052787002,person,2025-06-17 02:35:33.860000+00:00,645
13.828996480921496,121.35599561452176,person,2025-06-17 02:35:34.360000+00:00,659
13.82897343692938,121.35585087041528,person,2025-06-17 02:35:36.060000+00:00,657
13.828952590263436,121.3557103846352,unknown,2025-06-17 02:35:36.560000+00:00,696
13.828952590263436,121.3557103846352,unknown,2025-06-17 02:35:36.860000+00:00,677
13.828931806353,121.35556907244316,unknown,2025-06-17 02:35:37.360000+00:00,702
13.828931806353,121.35556907244316,truck,2025-06-17 02:35:37.460000+00:00,680
13.828931806353,121.35556907244316,unknown,2025-06-17 02:35:37.760000+00:00,716
13.828931806353,121.35556907244316,person,2025-06-17 02:35:37.760000+00:00,717
13.828911314018915,121.35542659418684,person,2025-06-17 02:35:38.160000+00:00,727
13.828911314018915,121.35542659418684,person,2025-06-17 02:35:38.560000+00:00,740
13.828911314018915,121.35542659418684,person,2025-06-17 02:35:38.560000+00:00,745
13.828911314018915,121.35542659418684,person,2025-06-17 02:35:38.660000+00:00,734
13.828911314018915,121.35542659418684,person,2025-06-17 02:35:38.660000+00:00,744
13.828886591865334,121.3552852135528,person,2025-06-17 02:35:39.860000+00:00,753
13.828849835699474,121.3549958771327,bicycle,2025-06-17 02:35:41.860000+00:00,771
13.828828927745846,121.35485116282264,car,2025-06-17 02:35:42.260000+00:00,775
13.828767174885432,121.3544152167855,car,2025-06-17 02:35:45.960000+00:00,805
13.82872127054856,121.3541153283076,bicycle,2025-06-17 02:35:47.260000+00:00,840
